@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720882
@ CHARGE           %le                   1
@ ENERGY           %le                6370
@ PC               %le         6369.999931
@ GAMMA            %le         6789.075451
@ KBUNCH           %le                   1
@ BCURRENT         %le     1.801727616e-15
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   1
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le     0.0003485816653
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.56088321
@ Q1               %le         62.30912871
@ Q2               %le         60.31822008
@ DQ1              %le         1.948441984
@ DQ2              %le         1.742160085
@ DXMAX            %le         3.090108079
@ DYMAX            %le          2.18368004
@ XCOMAX           %le       0.00936689043
@ YCOMAX           %le       0.01042909308
@ BETXMAX          %le         4903.004876
@ BETYMAX          %le         4926.836528
@ XCORMS           %le     0.0008355023552
@ YCORMS           %le     0.0008122278681
@ DXRMS            %le         1.519413377
@ DYRMS            %le        0.3054235217
@ DELTAP           %le                   0
@ SYNCH_1          %le         9.291849058
@ SYNCH_2          %le      0.002244883795
@ SYNCH_3          %le      7.99769003e-07
@ SYNCH_4          %le     1.182237663e-06
@ SYNCH_5          %le     2.452301316e-08
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.06.01 Darwin 64"
@ DATE             %08s "20/10/20"
@ TIME             %08s "18.03.13"
* NAME                                S             BETA11             BETA12             ALFA11             ALFA12                MUX                MUY               BETX               BETY                 DX                 DY                R12                R21                R22                R11 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "BPM_A.7R1.B1"                 259.259          134.03927     0.004886554514        -3.98238584   -2.454105718e-05       0.6968783689       0.3480317731        134.0420815        33.12703856      -0.3858494746     -0.01018069866     -0.09127076852   -0.0001378087464      0.01567646223     0.002140345872
 "BPM.8R1.B1"               300.6979894        18.40108137     0.001678007421       0.6384205947   -0.0001208777749        0.816647819       0.5143601883        18.40146735        98.69591768        0.273928106      0.03425450517      -0.3564990766    0.0006260254986    -0.008705287401      0.02322744324
 "BPM.9R1.B1"               339.7649788        111.6351883       0.0488703147       -2.549387428    -0.001053283749         1.01510188       0.6201063701        111.6375297        33.19505662        1.823992104      0.02988311483       -1.271286003   -0.0003952641838      0.01908159774      0.02743312597
 "BPM.10R1.B1"              380.2299682        35.32938558     0.008632907671       0.6159662594    0.0003724680335        1.110070288       0.7224672338        35.33012668         176.320474        1.191684944       0.0632748884      -0.9681613802   -0.0004994161577      -0.0126397231     -0.03991323857
 "BPM.11R1.B1"              433.0126576        188.7541003    0.0003525957926       -2.602838718    1.496023911e-05        1.235302314       0.8450922792        188.7580597        26.81532077        2.491265266     0.009725019069     -0.07620163839     0.000257558717     0.003747935388     0.000360228558
 "BPM.12R1.B1"              487.7391417        34.23515653     0.005303829141       0.5853744536   -0.0001132652653         1.34531535        1.010792485        34.23585778        170.0174925        1.026956807      -0.0420773956      -0.8089219015    0.0003094656216     -0.01497013767      0.01535390943
 "BPM.13R1.B1"              541.1906258         170.101284      0.07304893075       -2.314900654     -0.00103030156        1.480464381        1.125780476        170.1057232        33.21068231         1.66506906     -0.02940397534       -1.549896371   -0.0003894333798      0.02873230598      0.02191536874
 "BPM.14R1.B1"              594.6421099        33.45804831     0.009385903635       0.5175256115    0.0003510198773        1.595024795        1.262275084        33.45894969        172.4820925       0.8771929891     -0.05289821516      -0.7850498287   -0.0001344886307    -0.005003487587     -0.02648573136
 "BPM.15R1.B1"               648.093594         173.413354     0.001501650216       -2.379249375    3.594162178e-05        1.730368028        1.375424289        173.4147108        33.67116768         1.96409253     -0.00446352844     -0.01941111862    0.0001511023235      0.00696115814    0.0007025417495
 "BPM.16R1.B1"              701.5450781        33.35624073     0.003936718381       0.5362472415   -0.0001218526144        1.843776382        1.511443854        33.35650022        171.0764012        1.169762488      0.04496004115      -0.6562762279    0.0003616256376     -0.01186906858      0.01933993141
 "BPM.17R1.B1"              754.9965622        169.9687671      0.06695875854       -2.337796711   -0.0009730211802        1.981235208        1.625950274        169.9692852        33.29065502         2.62919207      0.03022728651       -1.490339018   -0.0003762492989      0.02602758741      0.02166115518
 "BPM.18R1.B1"              808.4480463        33.62507915     0.009355099062       0.5188110094    0.0003290568245        2.095494236        1.762317185        33.62515409        172.3364781        1.306951431      0.05268068215      -0.7770204811   -0.0001666359077    -0.004861571183     -0.02709171608
 "BPM.19R1.B1"              861.8995304        173.3396907    0.0006031719833       -2.372948424    2.517839304e-05        2.230399812        1.875315199        173.3433312        33.78251874        2.336524484     0.003165950908     -0.06336054962    0.0001947530524     0.004788541364     0.001808983151
 "BPM.20R1.B1"              915.3510145        33.52149052     0.005040171829       0.5372011047   -0.0001218989869        2.343532366        2.011059292        33.52217969        170.9459168        1.019271158     -0.04909569458      -0.7923951228    0.0003224077987     -0.01366383693      0.01719248458
 "BPM.21R1.B1"              968.8024986        170.0728309      0.07306994168       -2.334020323    -0.001039011254        2.480464923        2.125780388        170.0772681        33.21621659        1.681411604     -0.03147041393       -1.550240367   -0.0003952895497      0.02891043479      0.02209872589
 "BPM.22R1.B1"              1022.253983        33.45827916     0.009391201912       0.5175321858     0.000351191365        2.595024646        2.262274932         33.4591803        172.4817569       0.8832019956     -0.05218071476      -0.7851783613   -0.0001344919473      -0.0050031988     -0.02648972276
 "BPM.23R1.B1"              1075.705467        173.4126847     0.001503374143       -2.379233751    3.596647686e-05        2.730367605         2.37542422        173.4140396        33.67119298        1.965868682    -0.002244236513     -0.01934008379    0.0001511123411     0.006964056523    0.0007022441871
 "BPM.24R1.B1"              1129.156951        33.35601001     0.003937951882        0.536240636   -0.0001219136037        2.843776701        2.511443537        33.35626912        171.0767362        1.165578702      0.05180015167      -0.6563870049    0.0003617629189      -0.0118709732      0.01934874294
 "BPM.25R1.B1"              1182.608435        169.9694386      0.06699060487        -2.33781234   -0.0009735070758        2.981235806        2.625949874        169.9699547        33.29062957        2.612703786      0.03229809938       -1.490687237    -0.000376397159      0.02603656125      0.02166671663
 "BPM.26R1.B1"              1236.059919        33.62531039     0.009360405916         0.51881762    0.0003292204833        3.095494082        2.762317034        33.62538492        172.3361428        1.300940306      0.05195624645      -0.7771488655   -0.0001666389688    -0.004861274327     -0.02709570597
 "BPM.27R1.B1"              1289.511403        173.3390211    0.0006039349324        -2.37293282    2.521381649e-05        3.230399389         2.87531513        173.3426599        33.78254363        2.334755655    0.0009495194982     -0.06328936249    0.0001947631805     0.004791433862     0.001808685374
 "BPM.28R1.B1"              1342.962887        33.52125791     0.005041567974       0.5371945059   -0.0001219647217        3.343532684        3.011058977        33.52194678        170.9462519        1.023456131     -0.05591056159      -0.7925051758    0.0003225446978     -0.01366573048      0.01720127622
 "BPM.29R1.B1"              1396.414371         170.073492      0.07310346831       -2.334035835    -0.001039516821        3.480465525        3.125779989        170.0779279        33.21619169        1.697896628     -0.03353439122       -1.550587659   -0.0003954367807      0.02891936613      0.02210427442
 "BPM.30R1.B1"              1449.865855        33.45633388     0.009401349097       0.5175164938     0.000351445361         3.59502891        3.262273991        33.45720642        172.4835543       0.8891780621     -0.05141713501       -0.783947627   -0.0001350657643    -0.004975642054     -0.02652211407
 "BPM.31R1.B1"               1503.31734        173.4116842     0.001506697997       -2.379280352    3.610387517e-05        3.730377813        3.375422197        173.4128985        33.67137186        1.967527576    5.854971499e-06     -0.01611184457    0.0001516665404     0.006927809429    0.0006580271524
 "BPM.32R1.B1"              1556.768824        33.35799747     0.003934841704       0.5362572898   -0.0001220168574        3.843783324        3.511441984        33.35822868        171.0749526        1.161355098      0.05869364053      -0.6546882432    0.0003625102126      -0.0118577119      0.01943041042
 "BPM.33R1.B1"              1610.220308        169.9705894      0.06702139053       -2.337767748   -0.0009741203673        3.981236405        3.625949412        169.9709646        33.29045551        2.596213025      0.03437336812       -1.491023694   -0.0003770890409      0.02604277105      0.02167418906
 "BPM.34R1.B1"              1663.671792        33.62539344     0.009365586312       0.5188220671    0.0003293840296        4.095494265        3.762316827        33.62546774        172.3359558        1.295007429      0.05111310197      -0.7772737192    -0.000166633462    -0.004860978515     -0.02709933747
 "BPM.33L2.B1"              1717.123276        173.3384241    0.0006046579973       -2.372922594    2.524488047e-05         4.23039966        3.875314926        173.3420622        33.78257837        2.333264749    -0.001346631714     -0.06323848697     0.000194774191     0.004794191143     0.001808746696
 "BPM.32L2.B1"               1770.57476        33.34986926     0.005358230525       0.5354745613   -0.0001292690497        4.343867079        4.010993303         33.3505692        171.1099756        1.024360339     -0.06380534625      -0.8122469368    0.0003309069472     -0.01407132247      0.01760958986
