sequence: PS, l=628.3185
idx  kind          name                    l          dl       spos       upos    uds
886  quadrupole    PR.QTRTB99.A            0.230       0     616.850    616.965   0.115
887  quadrupole    PR.QTRTB99.B            0.230       0     617.275    617.390   0.115
888  quadrupole    PR.QFN99                0.120       0     617.738    617.798   0.060
889  multipole     PR.MP99.F               0.000       0     617.912    617.912   0.000
890  sbend         PR.BHS99.F              2.198       0     617.912    619.011   1.099
891  multipole     PR.MP99.J               0.000       0     620.110    620.110   0.000
892  hkicker       PR.DHZ99.B              0.000       0     620.110    620.110   0.000
893  sbend         PR.BHS99.D              2.206       0     620.110    621.213   1.103
894  multipole     PR.MP99.D               0.000       0     622.315    622.315   0.000
895  monitor       PR.BPM00                0.000       0     622.409    622.409   0.000
896  monitor       PR.BPMW00               0.000       0     622.825    622.825   0.000
897  octupole      PR.ODN00                0.220       0     623.156    623.266   0.110
898  marker        PR.VVS00                0.000       0     623.566    623.566   0.000
899  quadrupole    PR.QDN00                0.120       0     623.742    623.802   0.060
900  multipole     PR.MP00.D               0.000       0     623.915    623.915   0.000
901  sbend         PR.BHR00.D              2.206       0     623.915    625.018   1.103
902  multipole     PR.MP00.J               0.000       0     626.121    626.121   0.000
903  hkicker       PR.DHZ01.A              0.000       0     626.121    626.121   0.000
904  sbend         PR.BHR00.F              2.198       0     626.121    627.220   1.099
905  multipole     PR.MP00.F               0.000       0     628.319    628.319   0.000
906  marker        $end                    0.000       0     628.318    628.318   0.000
