sequence: LHCB1, l=26658.8832
idx  kind          name                    l          dl       spos       upos    uds
353  sextupole     MCS.A29R1.B1            0.110       0    1364.159   1364.214   0.055
354  multipole     MCO.29R1.B1             0.000       0    1364.964   1364.964   0.000
355  multipole     MCD.29R1.B1             0.000       0    1364.966   1364.966   0.000
356  sbend         MB.B29R1.B1            14.300       0    1365.301   1372.451   7.150
357  sextupole     MCS.B29R1.B1            0.110       0    1379.820   1379.875   0.055
358  sbend         MB.C29R1.B1            14.300       0    1380.961   1388.111   7.150
359  sextupole     MCS.C29R1.B1            0.110       0    1395.480   1395.535   0.055
360  monitor       BPM.29R1.B1             0.000       0    1396.414   1396.414   0.000
361  octupole      MO.29R1.B1              0.320       0    1397.005   1397.165   0.160
362  quadrupole    MQ.29R1.B1              3.100       0    1397.626   1399.176   1.550
363  sextupole     MSS.29R1.B1             0.369       0    1400.887   1401.071   0.185
364  hkicker       MCBH.29R1.B1            0.647       0    1401.341   1401.664   0.323
365  multipole     MCO.A30R1.B1            0.000       0    1402.755   1402.755   0.000
366  multipole     MCD.A30R1.B1            0.000       0    1402.757   1402.757   0.000
367  sbend         MB.A30R1.B1            14.300       0    1403.092   1410.242   7.150
368  sextupole     MCS.A30R1.B1            0.110       0    1417.611   1417.666   0.055
369  sbend         MB.B30R1.B1            14.300       0    1418.752   1425.902   7.150
370  sextupole     MCS.B30R1.B1            0.110       0    1433.271   1433.326   0.055
371  multipole     MCO.B30R1.B1            0.000       0    1434.076   1434.076   0.000
372  multipole     MCD.B30R1.B1            0.000       0    1434.078   1434.078   0.000
373  sbend         MB.C30R1.B1            14.300       0    1434.413   1441.563   7.150
374  sextupole     MCS.C30R1.B1            0.110       0    1448.932   1448.987   0.055
375  monitor       BPM.30R1.B1             0.000       0    1449.866   1449.866   0.000
376  octupole      MO.30R1.B1              0.320       0    1450.457   1450.617   0.160
377  quadrupole    MQ.30R1.B1              3.100       0    1451.078   1452.628   1.550
378  sextupole     MS.30R1.B1              0.369       0    1454.338   1454.523   0.185
379  vkicker       MCBV.30R1.B1            0.647       0    1454.792   1455.116   0.323
380  sbend         MB.A31R1.B1            14.300       0    1456.543   1463.693   7.150
381  sextupole     MCS.A31R1.B1            0.110       0    1471.062   1471.117   0.055
382  multipole     MCO.31R1.B1             0.000       0    1471.867   1471.867   0.000
383  multipole     MCD.31R1.B1             0.000       0    1471.869   1471.869   0.000
384  sbend         MB.B31R1.B1            14.300       0    1472.204   1479.354   7.150
385  sextupole     MCS.B31R1.B1            0.110       0    1486.723   1486.778   0.055
386  sbend         MB.C31R1.B1            14.300       0    1487.864   1495.014   7.150
387  sextupole     MCS.C31R1.B1            0.110       0    1502.383   1502.438   0.055
388  monitor       BPM.31R1.B1             0.000       0    1503.317   1503.317   0.000
389  octupole      MO.31R1.B1              0.320       0    1503.908   1504.068   0.160
390  quadrupole    MQ.31R1.B1              3.100       0    1504.529   1506.079   1.550
391  sextupole     MS.31R1.B1              0.369       0    1507.790   1507.974   0.185
392  hkicker       MCBH.31R1.B1            0.647       0    1508.244   1508.567   0.323
393  marker        S.CELL.12.B1            0.000       0    1509.314   1509.314   0.000
394  multipole     MCO.A32R1.B1            0.000       0    1509.658   1509.658   0.000
395  multipole     MCD.A32R1.B1            0.000       0    1509.660   1509.660   0.000
396  sbend         MB.A32R1.B1            14.300       0    1509.995   1517.145   7.150
397  sextupole     MCS.A32R1.B1            0.110       0    1524.514   1524.569   0.055
398  sbend         MB.B32R1.B1            14.300       0    1525.655   1532.805   7.150
399  sextupole     MCS.B32R1.B1            0.110       0    1540.174   1540.229   0.055
400  multipole     MCO.B32R1.B1            0.000       0    1540.979   1540.979   0.000
401  multipole     MCD.B32R1.B1            0.000       0    1540.981   1540.981   0.000
402  sbend         MB.C32R1.B1            14.300       0    1541.316   1548.466   7.150
403  sextupole     MCS.C32R1.B1            0.110       0    1555.835   1555.890   0.055
404  monitor       BPM.32R1.B1             0.000       0    1556.769   1556.769   0.000
405  octupole      MO.32R1.B1              0.320       0    1557.360   1557.520   0.160
406  quadrupole    MQ.32R1.B1              3.100       0    1557.981   1559.531   1.550
407  sextupole     MS.32R1.B1              0.369       0    1561.241   1561.426   0.185
408  vkicker       MCBV.32R1.B1            0.647       0    1561.695   1562.019   0.323
409  sbend         MB.A33R1.B1            14.300       0    1563.446   1570.596   7.150
410  sextupole     MCS.A33R1.B1            0.110       0    1577.965   1578.020   0.055
411  multipole     MCO.33R1.B1             0.000       0    1578.770   1578.770   0.000
412  multipole     MCD.33R1.B1             0.000       0    1578.772   1578.772   0.000
413  sbend         MB.B33R1.B1            14.300       0    1579.107   1586.257   7.150
414  sextupole     MCS.B33R1.B1            0.110       0    1593.626   1593.681   0.055
415  sbend         MB.C33R1.B1            14.300       0    1594.767   1601.917   7.150
416  sextupole     MCS.C33R1.B1            0.110       0    1609.286   1609.341   0.055
417  monitor       BPM.33R1.B1             0.000       0    1610.220   1610.220   0.000
