sequence: L000013, l=97756.064283185
idx  kind          name                    l          dl       spos       upos    uds
496  sextupole     SF13.1                  1.400       0    7318.119   7318.819   0.700
497  quadrupole    QF4.81                  2.900       0    7319.819   7321.269   1.450
498  rbend         B1.72                  24.432       0    7323.020   7335.236  12.216
499  quadrupole    QD3.82                  2.900       0    7347.752   7349.202   1.450
500  rbend         B1.73                  24.432       0    7350.952   7363.168  12.216
501  quadrupole    QF4.82                  2.900       0    7375.684   7377.134   1.450
502  rbend         B1S.64                 21.232       0    7378.884   7389.500  10.616
503  quadrupole    QD3.83                  2.900       0    7403.617   7405.067   1.450
504  rbend         B1S.65                 21.232       0    7406.817   7417.433  10.616
505  quadrupole    QF4.83                  2.900       0    7431.549   7432.999   1.450
506  rbend         B1.74                  24.432       0    7434.749   7446.965  12.216
507  quadrupole    QD3.84                  2.900       0    7459.481   7460.931   1.450
508  rbend         B1L.28                 22.732       0    7462.682   7474.048  11.366
509  sextupole     SF13.2                  1.400       0    7485.714   7486.414   0.700
510  quadrupole    QF4.84                  2.900       0    7487.414   7488.864   1.450
511  rbend         B1L.29                 22.732       0    7490.614   7501.980  11.366
